Name,Meta Critic,Cost,Class,Country,Whiskey Type
Teeling Single Malt,8.38,$$$$,SingleMalt-like,Ireland,Malt
Aberlour 12yo Double Cask Matured,8.37,$$$,SingleMalt-like,Scotland,Malt
Bushmills Black Bush,8.37,$$,SingleMalt-like,Ireland,Blend
Writers Tears Red Head Single Malt,8.37,$$$,SingleMalt-like,Irish,Malt
Glen Moray Classic Port Cask finish,8.36,$$,SingleMalt-like,Scotland,Malt
GlenDronach 14yo Sauternes Cask Finish,8.36,$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Rocks,8.35,$$$$,SingleMalt-like,Scotland,Malt
Bushmills Sherry Cask Reserve,8.35,$$$$,SingleMalt-like,Ireland,Malt
Singleton of Glen Ord 18yo,8.35,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Sherry Cask Finish,8.34,$$$$$,SingleMalt-like,Scotland,Malt
Glen Garioch 16yo Renaissance Chapter 2,8.34,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Pomerol Bordeaux Cask Finish,8.33,$$$$,SingleMalt-like,Scotland,Malt
Glencadam 12yo Port Wood Finish,8.33,$$$,SingleMalt-like,Scotland,Malt
Tomatin Cu Bocan Sherry Edition,8.33,$$$$,SingleMalt-like,Scotland,Malt
Bladnoch Samsara,8.32,$$$$,SingleMalt-like,Scotland,Malt
Glenfarclas 10yo,8.32,$$$,SingleMalt-like,Scotland,Malt
Balvenie 12yo Triple Cask,8.31,$$$$,SingleMalt-like,Scotland,Malt
Benrinnes 15yo F&F,8.31,$$$$,SingleMalt-like,Scotland,Malt
Jura 12yo Elixir,8.31,$$$,SingleMalt-like,Scotland,Malt
Dalmore 15yo,8.3,$$$$,SingleMalt-like,Scotland,Malt
Ohishi Sherry Cask,8.3,$$$$,SingleMalt-like,Scotland,Malt
Dalmore Cigar Malt Reserve,8.29,$$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich Malt Master's Edition,8.29,$$$$,SingleMalt-like,Scotland,Malt
Bladnoch 15yo Adela,8.27,$$$$$,SingleMalt-like,Scotland,Malt
Jura 21yo 200th Anniversary,8.27,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan Concertmaster Port Cask,8.27,$$$$,SingleMalt-like,Taiwan,Malt
Auchentoshan Three Wood,8.26,$$$$,SingleMalt-like,Scotland,Malt
Glen Moray 16yo,8.25,$$$,SingleMalt-like,Scotland,Malt
Bowmore Black Rock,8.24,$$,SingleMalt-like,Scotland,Malt
Dalmore King Alexander III,8.24,$$$$$,SingleMalt-like,Scotland,Malt
Wemyss Malts Velvet Fig,8.24,$$$,SingleMalt-like,Scotland,Malt
Aberlour 10yo,8.23,$$,SingleMalt-like,Scotland,Malt
Glenfiddich Reserve Cask,8.23,$$$,SingleMalt-like,Scotland,Malt
Mackmyra Skordetid,8.22,$$$$$,SingleMalt-like,Sweden,Malt
Glenrothes Robur Reserve,8.21,$$,SingleMalt-like,Scotland,Malt
Jura Seven Wood,8.21,$$$$,SingleMalt-like,Scotland,Malt
Macallan Select Oak,8.21,$$$,SingleMalt-like,Scotland,Malt
Tullibardine 500 Sherry Finish,8.2,$$$,SingleMalt-like,Scotland,Malt
Glenglassaugh Revival,8.18,$$$,SingleMalt-like,Scotland,Malt
Ben Nevis 10yo,8.16,$$$,SingleMalt-like,Scotland,Malt
Singleton of Dufftown Tailfire,8.16,$$,SingleMalt-like,Scotland,Malt
Mackmyra Blomstertid,8.13,$$$$,SingleMalt-like,Sweden,Malt
Glenrothes Sherry Cask Reserve,8.09,$$$$,SingleMalt-like,Scotland,Malt
Dalmore Gran Reserva,8.08,$$$,SingleMalt-like,Scotland,Malt
Laphroaig Select,8.04,$$$,SingleMalt-like,Scotland,Malt
Longmorn Distiller's Choice,8.04,$$$$,SingleMalt-like,Scotland,Malt
Jura 16yo,7.97,$$$$,SingleMalt-like,Scotland,Malt
Royal Lochnagar 12yo,7.97,$$,SingleMalt-like,Scotland,Malt
Tullibardine 1993 Port,7.97,$$$$,SingleMalt-like,Scotland,Malt
Lohin McKinnon Wine Barrel Finished (Black Sage),7.94,$$$,SingleMalt-like,Canada,Malt
Amrut PX Sherry Single Cask 2702,7.91,$$$$,SingleMalt-like,India,Malt
Penderyn Madeira,7.91,$$$$,SingleMalt-like,Wales,Malt
Jura Turas Mara,7.9,$$,SingleMalt-like,Scotland,Malt
Penderyn Sherrywood,7.8,$$$$,SingleMalt-like,Wales,Malt
Singleton of Dufftown Spey Cascade,7.48,$$,SingleMalt-like,Scotland,Malt
Ichiro's Malt The Joker,9.22,$$$$$+,SingleMalt-like,Japan,Malt
Hibiki 21yo,9.13,$$$$$+,SingleMalt-like,Japan,Blend
Bunnahabhain 40yo,9.12,$$$$$+,SingleMalt-like,Scotland,Malt
Bruichladdich Black Art 3.x 1989,9.09,$$$$$+,SingleMalt-like,Scotland,Malt
Midleton Dair Ghaelach,9.09,$$$$$,SingleMalt-like,Ireland,Blend
Glencadam 25yo,9.07,$$$$$+,SingleMalt-like,Scotland,Malt
Compass Box Phenomenology,9.06,$$$$$,SingleMalt-like,Scotland,Malt
GlenDronach 19yo Madeira Finish,9.04,$$$$$,SingleMalt-like,Scotland,Malt
Redbreast 12yo Cask Strength,9.04,$$$$,SingleMalt-like,Ireland,Malt
Glenfiddich 30yo,9.03,$$$$$+,SingleMalt-like,Scotland,Malt
Cragganmore 25yo,9.02,$$$$$+,SingleMalt-like,Scotland,Malt
Bruichladdich Black Art 2.x 1989,9.01,$$$$$+,SingleMalt-like,Scotland,Malt
Mackmyra Reserve Single Cask (various casks),9,$$$$$,SingleMalt-like,Sweden,Malt
Amrut Double Cask,8.99,$$$$,SingleMalt-like,India,Malt
Amrut Virgin Oak Single Cask,8.96,$$$$,SingleMalt-like,India,Malt
Compass Box 3yo Deluxe,8.96,$$$$$+,SingleMalt-like,Scotland,Malt
Craigellachie 23yo,8.96,$$$$$+,SingleMalt-like,Scotland,Malt
Glenfiddich Winter Storm 21yo Experimental Series No. 3,8.95,$$$$$+,SingleMalt-like,Scotland,Malt
Macallan Edition No. 4,8.94,$$$$$,SingleMalt-like,Scotland,Malt
Yamazaki Mizunara,8.94,$$$$$+,SingleMalt-like,Japan,Malt
Aultmore 25yo,8.93,$$$$$+,SingleMalt-like,Scotland,Malt
Arran Malt 18yo,8.92,$$$$$,SingleMalt-like,Scotland,Malt
Kavalan ex-Bourbon Oak,8.92,$$$$,SingleMalt-like,Taiwan,Malt
Tomatin Decades,8.92,$$$$$,SingleMalt-like,Scotland,Malt
Macallan Edition No. 2,8.91,$$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Black Art 5.x 1992,8.9,$$$$$+,SingleMalt-like,Scotland,Malt
Glenlivet Nadurra First Fill (White Oak),8.9,$$$$,SingleMalt-like,Scotland,Malt
Old Pulteney 25yo,8.9,$$$$$,SingleMalt-like,Scotland,Malt
Yamazaki Limited Edition 2016,8.9,$$$$$+,SingleMalt-like,Japan,Malt
Amrut Herald,8.89,$$$$,SingleMalt-like,India,Malt
Amrut Fusion,8.88,$$$$,SingleMalt-like,India,Malt
Caol Ila 18yo Unpeated 2017,8.88,$$$$$,SingleMalt-like,Scotland,Malt
Glen Grant 25yo,8.88,$$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie Ealanta,8.88,$$$$$+,SingleMalt-like,Scotland,Malt
Glenmorangie Astar,8.86,$$$$$,SingleMalt-like,Scotland,Malt
Arran Malt Bourbon Single Cask,8.85,$$$$,SingleMalt-like,Scotland,Malt
Box (High Coast) The 2nd Step Collection 02,8.85,$$$$$,SingleMalt-like,Sweden,Malt
Kavalan Solist Ex-Bourbon,8.85,$$$$$,SingleMalt-like,Taiwan,Malt
Kininvie 17yo (all batches),8.85,$$$$$+,SingleMalt-like,Scotland,Malt
Macallan Edition No. 3,8.85,$$$$$,SingleMalt-like,Scotland,Malt
Arran Malt 17yo,8.84,$$$$,SingleMalt-like,Scotland,Malt
Arran Malt The Devil’s Punch Bowl (all chapters),8.84,$$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Moment Glöd,8.83,$$$$$,SingleMalt-like,Sweden,Malt
Glenlivet 21yo Archive (all batches),8.82,$$$$$,SingleMalt-like,Scotland,Malt
Nikka From the Barrel,8.82,$$$,SingleMalt-like,Japan,Blend
Compass Box Spice Tree Extravaganza,8.81,$$$$$,SingleMalt-like,Scotland,Malt
Auchentoshan 21yo,8.8,$$$$$,SingleMalt-like,Scotland,Malt
Compass Box Spice Tree,8.8,$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Moment Urberg,8.8,$$$$$,SingleMalt-like,Sweden,Malt
Midleton Very Rare (all vintages),8.8,$$$$$,SingleMalt-like,Ireland,Blend
Paul John Single Cask,8.8,$$$$,SingleMalt-like,India,Malt
Amrut Two Continents,8.79,$$$$,SingleMalt-like,India,Malt
BenRiach 25yo,8.79,$$$$$+,SingleMalt-like,Scotland,Malt
Bruichladdich 21yo Cuvée 640 Eroica,8.79,$$$$$,SingleMalt-like,Scotland,Malt
Clynelish 14yo,8.79,$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich Project XX Experimental Series No. 2,8.79,$$$$,SingleMalt-like,Scotland,Malt
Macallan Edition No. 1,8.79,$$$$$,SingleMalt-like,Scotland,Malt
Aberfeldy 21yo,8.78,$$$$$,SingleMalt-like,Scotland,Malt
Cragganmore NAS (Special Release 2016),8.78,$$$$$,SingleMalt-like,Scotland,Malt
Glen Grant Five Decades,8.78,$$$$$,SingleMalt-like,Scotland,Malt
Midleton Very Rare 2016,8.78,$$$$$,SingleMalt-like,Ireland,Blend
Nikka Taketsuru 17yo,8.78,$$$$$,SingleMalt-like,Japan,Malt
Strathmill 25yo,8.78,$$$$$+,SingleMalt-like,Scotland,Malt
Arran Malt Tokaji Aszu Wine Finish,8.77,$$$$,SingleMalt-like,Scotland,Malt
Mortlach Special Strength,8.77,$$$$$,SingleMalt-like,Scotland,Malt
Old Pulteney 17yo,8.77,$$$$$,SingleMalt-like,Scotland,Malt
Hibiki 17yo,8.76,$$$$$,SingleMalt-like,Japan,Blend
Hakushu 18yo,8.75,$$$$$,SingleMalt-like,Japan,Malt
Mackmyra Moment Rimfrost,8.75,$$$$$,SingleMalt-like,Sweden,Malt
Glenfiddich Cask of Dreams,8.74,$$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Special 04,8.74,$$$$,SingleMalt-like,Sweden,Malt
Nikka Coffey Malt,8.74,$$$$,SingleMalt-like,Japan,Malt
Amrut Bourbon Single Cask,8.73,$$$$,SingleMalt-like,India,Malt
Redbreast 12yo,8.73,$$$,SingleMalt-like,Ireland,Malt
Redbreast 15yo,8.73,$$$$,SingleMalt-like,Ireland,Malt
Arran Malt Napoleon Cognac Finish,8.72,$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich 19yo Age of Discovery (Bourbon Cask),8.72,$$$$$,SingleMalt-like,Scotland,Malt
Box (High Coast) The Festival 2016,8.7,$$$$$,SingleMalt-like,Sweden,Malt
Bruichladdich 21yo Cuvée 382 La Berenice,8.7,$$$$$,SingleMalt-like,Scotland,Malt
Glenmorangie 18yo,8.7,$$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich 15yo Distillery Edition,8.69,$$$$,SingleMalt-like,Scotland,Malt
Mortlach 18yo,8.69,$$$$$+,SingleMalt-like,Scotland,Malt
Mackmyra Special 03,8.68,$$$$$,SingleMalt-like,Sweden,Malt
Storas 21yo Rare Cask Reserves Blended,8.68,$$$,SingleMalt-like,Scotland,Blend
AnCnoc 18yo,8.67,$$$$,SingleMalt-like,Scotland,Malt
Macallan 18yo Fine Oak,8.67,$$$$$,SingleMalt-like,Scotland,Malt
Balvenie 12yo Single Barrel,8.66,$$$$,SingleMalt-like,Scotland,Malt
Balcones Texas Single Malt Whisky,8.65,$$$$,SingleMalt-like,USA,Malt
Balvenie 25yo Single Barrel,8.65,$$$$$+,SingleMalt-like,Scotland,Malt
Bunnahabhain 12yo,8.65,$$$,SingleMalt-like,Scotland,Malt
Glen Garioch 12yo,8.65,$$$$,SingleMalt-like,Scotland,Malt
Westland Single Cask,8.65,$$$$,SingleMalt-like,USA,Malt
Compass Box Oak Cross,8.64,$$$,SingleMalt-like,Scotland,Malt
Ichiro's Malt Double Distilleries,8.64,$$$$$,SingleMalt-like,Japan,Malt
Copperworks American Single Malt,8.63,$$$,SingleMalt-like,USA,Malt
Kilkerran Work in Progress Sherry Wood,8.63,$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Black Art 4.x 1990,8.62,$$$$$+,SingleMalt-like,Scotland,Malt
Glenrothes Vintage 1995 (all bottlings),8.62,$$$$,SingleMalt-like,Scotland,Malt
Glenlivet Cipher,8.61,$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Special 09,8.61,$$$$,SingleMalt-like,Sweden,Malt
Paul John Classic Select Cask,8.61,$$$$,SingleMalt-like,India,Malt
Caol Ila 17yo Unpeated,8.6,$$$$$,SingleMalt-like,Scotland,Malt
Sullivans Cove American Oak,8.6,$$$$$,SingleMalt-like,Tasmania,Malt
Glenfiddich 18yo,8.58,$$$$$,SingleMalt-like,Scotland,Malt
Glenlivet 18yo,8.58,$$$$$,SingleMalt-like,Scotland,Malt
Craigellachie 17yo,8.56,$$$$$,SingleMalt-like,Scotland,Malt
Deanston 18yo (Bourbon Finish),8.56,$$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich 14yo Rich Oak,8.56,$$$,SingleMalt-like,Scotland,Malt
Royal Brackla 16yo,8.56,$$$$$,SingleMalt-like,Scotland,Malt
Glengoyne 17yo,8.55,$$$$$,SingleMalt-like,Scotland,Malt
Midleton Very Rare 2015,8.55,$$$$$,SingleMalt-like,Ireland,Blend
Teerenpeli Distiller's Choice KASKI,8.55,$$$$,SingleMalt-like,Finland,Malt
Glen Grant 18yo,8.54,$$$$$,SingleMalt-like,Scotland,Malt
Sullivans Cove Port Cask Strength,8.54,$$$$$,SingleMalt-like,Tasmania,Malt
Tyrconnell 10yo Madeira Cask Finish,8.54,$$$$,SingleMalt-like,Ireland,Malt
Mackmyra Moment Jord,8.53,$$$$,SingleMalt-like,Sweden,Malt
Nikka Pure Malt Red,8.53,$$$,SingleMalt-like,Japan,Malt
Sullivans Cove Bourbon Cask Strength,8.53,$$$$,SingleMalt-like,Tasmania,Malt
Teerenpeli Distiller’s Choice RASI,8.53,$$$$,SingleMalt-like,Finland,Malt
Westland American Single Malt,8.53,$$$$,SingleMalt-like,USA,Malt
Arran Malt Sauternes Finish,8.52,$$$,SingleMalt-like,Scotland,Malt
Box (High Coast) The Messenger,8.52,$$$$$,SingleMalt-like,Sweden,Malt
Yamazaki Distiller's Reserve,8.52,$$$$,SingleMalt-like,Japan,Malt
Balvenie 14yo Carribean Cask,8.51,$$$$,SingleMalt-like,Scotland,Malt
Kininvie 23yo (all batches),8.51,$$$$$+,SingleMalt-like,Scotland,Malt
Glen Grant 16yo,8.5,$$$$,SingleMalt-like,Scotland,Malt
Green Spot,8.5,$$$$,SingleMalt-like,Ireland,Malt
Macallan 21yo Fine Oak,8.5,$$$$$+,SingleMalt-like,Scotland,Malt
Paul John Brilliance,8.5,$$$,SingleMalt-like,India,Malt
Mackmyra Special 05,8.48,$$$$,SingleMalt-like,Sweden,Malt
Singleton of Glendullan 15yo,8.48,$$$,SingleMalt-like,Scotland,Malt
Mackmyra Moment Källa,8.47,$$$$$,SingleMalt-like,Sweden,Malt
Mackmyra Moment Solsken,8.47,$$$$$,SingleMalt-like,Sweden,Malt
Glenrothes Vintage Reserve (NAS),8.45,$$$,SingleMalt-like,Scotland,Malt
GlenDronach 8yo The Hielan,8.44,$$$,SingleMalt-like,Scotland,Malt
Macallan 15yo Fine Oak,8.44,$$$$$,SingleMalt-like,Scotland,Malt
Mortlach Rare Old,8.44,$$$$$,SingleMalt-like,Scotland,Malt
Old Pulteney 12yo,8.44,$$$,SingleMalt-like,Scotland,Malt
Benromach Organic,8.43,$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Moment Malström (Maelstrom),8.43,$$$$$,SingleMalt-like,Sweden,Malt
Nikka All Malt,8.43,$$,SingleMalt-like,Japan,Malt
Singleton of Glen Ord 15yo,8.43,$$$$,SingleMalt-like,Scotland,Malt
Bunnahabhain Stiuireadair,8.42,$$$,SingleMalt-like,Scotland,Malt
Dalmore 12yo,8.42,$$$,SingleMalt-like,Scotland,Malt
Deveron 18yo,8.42,$$$$,SingleMalt-like,Scotland,Malt
Glen Elgin 12yo,8.42,$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich IPA Cask Finish Experimental Series No. 1,8.42,$$$,SingleMalt-like,Scotland,Malt
Bunnahabhain Eirigh Na Greine,8.41,$$$$,SingleMalt-like,Scotland,Malt
Bushmills 12yo Single Malt,8.41,$$$$$,SingleMalt-like,Ireland,Malt
Macallan 12yo Double Cask,8.41,$$$$,SingleMalt-like,Scotland,Malt
Mackmyra Special 10,8.41,$$$$,SingleMalt-like,Sweden,Malt
Okanagan Spirits Laird of Fintry (all editions),8.41,$$$,SingleMalt-like,Canada,Malt
Tullibardine 25yo,8.41,$$$$$+,SingleMalt-like,Ireland,Malt
Mackmyra Special 08,8.4,$$$$,SingleMalt-like,Sweden,Malt
Nikka Taketsuru 12yo,8.4,$$$$,SingleMalt-like,Japan,Malt
Teerenpeli 8yo,8.4,$$$$$,SingleMalt-like,Finland,Malt
Bunnahabhain Darach Ur,8.39,$$$,SingleMalt-like,Scotland,Malt
Tomatin 15yo,8.39,$$$$,SingleMalt-like,Scotland,Malt
Glenlivet 15yo French Oak,8.38,$$$$,SingleMalt-like,Scotland,Malt
Auchentoshan 18yo,8.37,$$$$$,SingleMalt-like,Scotland,Malt
Auchentoshan Bartender's Malt,8.37,$$,SingleMalt-like,Scotland,Malt
Craigellachie 14yo,8.37,$$$$$+,SingleMalt-like,Scotland,Malt
BenRiach 12yo Horizons,8.35,$$$$,SingleMalt-like,Scotland,Malt
Singleton of Dufftown 18yo,8.35,$$$$,SingleMalt-like,Scotland,Malt
Old Pulteney Navigator,8.34,$$$,SingleMalt-like,Scotland,Malt
Cragganmore 12yo,8.33,$$$,SingleMalt-like,Scotland,Malt
Glenrothes Vintage 1998 (2014),8.33,$$$$,SingleMalt-like,Scotland,Malt
Knappogue Castle 14yo Twin Wood,8.33,$$$$,SingleMalt-like,Ireland,Malt
Tullibardine 225 Sauternes Finish,8.33,$$$$,SingleMalt-like,Scotland,Malt
Singleton of Dufftown 15yo,8.32,$$$,SingleMalt-like,Scotland,Malt
Teeling Small Batch (Rum Cask Finish),8.31,$$,SingleMalt-like,Ireland,Blend
Deveron 12yo,8.3,$$$,SingleMalt-like,Scotland,Malt
Glencadam Origin 1825 (NAS),8.3,$$,SingleMalt-like,Scotland,Malt
Monkey Shoulder,8.3,$$,SingleMalt-like,Scotland,Malt
Ohishi Brandy Cask,8.29,$$$$,SingleMalt-like,Scotland,Malt
Singleton of Glen Ord 12yo,8.29,$$,SingleMalt-like,Scotland,Malt
Sullivans Cove Double Cask,8.29,$$$$,SingleMalt-like,Tasmania,Malt
Wemyss Malts Smooth Gentleman,8.29,$$$,SingleMalt-like,Scotland,Malt
Glenfiddich 14yo Bourbon Barrel Reserve,8.28,$$$$,SingleMalt-like,Scotland,Malt
Macallan Amber,8.28,$$$,SingleMalt-like,Scotland,Malt
Scapa 16yo,8.28,$$$$,SingleMalt-like,Scotland,Malt
Auchentoshan 12yo,8.27,$$$,SingleMalt-like,Scotland,Malt
Teaninich 10yo (F&F),8.27,,SingleMalt-like,Scotland,Malt
Stalk & Barrel Single Malt (All Casks),8.26,$$$,SingleMalt-like,Canada,Malt
Bruichladdich Black Art 1989,8.25,$$$$$+,SingleMalt-like,Scotland,Malt
Gouden Carolus Single Malt,8.25,$$$$,SingleMalt-like,Belgium,Malt
Macallan 10yo Fine Oak,8.25,$$$,SingleMalt-like,Scotland,Malt
Glenrothes Elders' Reserve,8.24,$$$$,SingleMalt-like,Scotland,Malt
Tobermory 10yo,8.24,$$$,SingleMalt-like,Scotland,Malt
Mackmyra Moment Jakt,8.23,$$$$$,SingleMalt-like,Sweden,Malt
Royal Brackla 12yo,8.23,$$$$,SingleMalt-like,Scotland,Malt
Edradour 10yo,8.22,$$$,SingleMalt-like,Scotland,Malt
Glen Breton 21yo,8.22,$$$$$,SingleMalt-like,Canada,Malt
Scallywag,8.22,$$$$,SingleMalt-like,Scotland,Malt
Bruichladdich Sherry Classic,8.21,$$$$,SingleMalt-like,Scotland,Malt
Strathisla 12yo,8.21,$$$,SingleMalt-like,Scotland,Malt
Deanston 12yo,8.2,$$$,SingleMalt-like,Scotland,Malt
Tomintoul 12yo Oloroso Sherry,8.2,$$$$,SingleMalt-like,Scotland,Malt
Glenfiddich Select Cask,8.19,$$$,SingleMalt-like,Scotland,Malt
Glenrothes Vintage 2001 (all bottlings),8.17,$$$$,SingleMalt-like,Scotland,Malt
Tullibardine 1993 Sauternes,8.17,$$$,SingleMalt-like,Scotland,Malt
Arran Malt Robert Burns Single Malt,8.15,$$,SingleMalt-like,Scotland,Malt
Auchroisk 10yo (F&F),8.15,$$$,SingleMalt-like,Scotland,Malt
Aberfeldy 12yo,8.14,$$$,SingleMalt-like,Scotland,Malt
Glen Moray 10yo Chardonnay Cask,8.11,$$,SingleMalt-like,Scotland,Malt
BenRiach 15yo Sauternes Finish,8.09,$$$$,SingleMalt-like,Scotland,Malt
Glen Garioch Virgin Oak,8.09,$$$$,SingleMalt-like,Scotland,Malt
Singleton of Dufftown Unité,8.08,$$,SingleMalt-like,Scotland,Malt
Miltonduff 10yo (F&F),8.07,$$$,SingleMalt-like,Scotland,Malt
Tullibardine 228 Burgundy Finish,8.06,$$$,SingleMalt-like,Scotland,Malt
Dalmore Valour,8.05,$$$$,SingleMalt-like,Scotland,Malt
Glenlivet 12yo,8.05,$$$,SingleMalt-like,Scotland,Malt
Tomatin 12yo,8.05,$$,SingleMalt-like,Scotland,Malt
Singleton of Glendullan 12yo,8.04,$$,SingleMalt-like,Scotland,Malt
Nikka Super,8.03,$$$,SingleMalt-like,Japan,Malt
Tullamore Dew 10yo Single Malt,8.02,$$$,SingleMalt-like,Ireland,Malt
Glenburgie 10yo (Gordon & MacPhail),8.01,$$$,SingleMalt-like,Scotland,Malt
The Irishman Single Malt (NAS),7.99,$$$,SingleMalt-like,Ireland,Malt
Glenlivet Founder's Reserve,7.98,$$,SingleMalt-like,Scotland,Malt
Glen Deveron 10yo (Macduff),7.97,$$,SingleMalt-like,Scotland,Malt
Millstone 8yo French Oak,7.95,$$$$,SingleMalt-like,Netherlands,Malt
Scapa Skiren,7.94,$$$$,SingleMalt-like,Scotland,Malt
Santis Edition Sigel,7.93,$$$,SingleMalt-like,Switzerland,Malt
Singleton of Dufftown 12yo,7.91,$$,SingleMalt-like,Scotland,Malt
Singleton of Glen Ord Signature,7.9,$$$,SingleMalt-like,Scotland,Malt
Glen Moray 12yo Chenin Blanc,7.86,$$,SingleMalt-like,Scotland,Malt
Glenrothes Select Reserve,7.78,$$$,SingleMalt-like,Scotland,Malt
Penderyn Legend,7.76,$$$,SingleMalt-like,Wales,Malt
Penderyn Aur Cymru,7.72,$$$$,SingleMalt-like,Wales,Malt
Speyside 10yo,7.71,$$$,SingleMalt-like,Scotland,Malt
Mars Iwai Tradition,7.68,$$$$,SingleMalt-like,Japan,Blend
Mackmyra Special 01,7.6,$$$$$,SingleMalt-like,Sweden,Malt
Glen Moray 16yo Chenin Blanc,7.58,$$$,SingleMalt-like,Scotland,Malt
Santis Edition Säntis,7.54,$$$$,SingleMalt-like,Switzerland,Malt
McClelland's Speyside Single Malt,6.95,$$,SingleMalt-like,Scotland,Malt
Kavalan Solist Moscatel Cask,9.21,$$$$$+,SingleMalt-like,Scotland,Malt
Midleton Barry Crockett Legacy,9.12,$$$$$,SingleMalt-like,Ireland,Blend
Highland Park 17yo The Light,9.04,$$$$$,SingleMalt-like,Scotland,Malt
Yamazaki Limited Edition 2015,8.97,$$$$$+,SingleMalt-like,Japan,Malt
Kirin 18yo (Fuji Sanroku),8.95,$$$$$+,SingleMalt-like,Japan,Malt
Mackmyra Iskristall,8.91,$$$$$,SingleMalt-like,Sweden,Malt
Box (High Coast) The 2nd Step Collection 03,8.9,$$$$$,SingleMalt-like,Sweden,Malt
Teeling Silver Reserve 21yo Sauternes Finish,8.9,$$$$$,SingleMalt-like,Ireland,Malt
Bruichladdich Laddie Twenty Two,8.88,$$$$$,SingleMalt-like,Scotland,Malt
Mackinlay's Shackleton Rare Old Highland Malt Discovery edition,8.87,$$$$$,SingleMalt-like,Scotland,Malt
